N	rep	n_lines	threshold	chromosome
205231	13	128	0.05	3L
167998	13	128	0.05	3R
124690	13	128	0.05	X
71399	13	128	0.125	2L
59948	13	128	0.125	2R
80455	13	128	0.125	3L
57352	13	128	0.125	3R
50785	13	128	0.125	X
27286	13	128	0.25	2L
23047	13	128	0.25	2R
30087	13	128	0.25	3L
20150	13	128	0.25	3R
20959	13	128	0.25	X
31370	14	2	0.05	2L
44763	14	2	0.05	2R
38792	14	2	0.05	3L
12847	14	2	0.05	3R
19543	14	2	0.05	X
22656	14	2	0.125	2L
38136	14	2	0.125	2R
24329	14	2	0.125	3L
15936	14	2	0.125	3R
14496	14	2	0.125	X
23714	14	2	0.25	2L
19377	14	2	0.25	2R
43602	14	2	0.25	3L
35723	14	2	0.25	3R
34168	14	2	0.25	X
78661	14	4	0.05	2L
56431	14	4	0.05	2R
95716	14	4	0.05	3L
56408	14	4	0.05	3R
37644	14	4	0.05	X
86376	14	4	0.125	2L
55359	14	4	0.125	2R
54170	14	4	0.125	3L
82551	14	4	0.125	3R
68987	14	4	0.125	X
107060	14	4	0.25	2L
45009	14	4	0.25	2R
69293	14	4	0.25	3L
63261	14	4	0.25	3R
63235	14	4	0.25	X
136735	14	8	0.05	2L
111626	14	8	0.05	2R
152819	14	8	0.05	3L
106785	14	8	0.05	3R
72342	14	8	0.05	X
131245	14	8	0.125	2L
78499	14	8	0.125	2R
155742	14	8	0.125	3L
75858	14	8	0.125	3R
91550	14	8	0.125	X
39830	14	8	0.25	2L
36394	14	8	0.25	2R
43254	14	8	0.25	3L
52648	14	8	0.25	3R
26762	14	8	0.25	X
215249	14	16	0.05	2L
262270	14	16	0.05	2R
201611	14	16	0.05	3L
191835	14	16	0.05	3R
144326	14	16	0.05	X
126423	14	16	0.125	2L
76140	14	16	0.125	2R
123818	14	16	0.125	3L
76431	14	16	0.125	3R
61620	14	16	0.125	X
32658	14	16	0.25	2L
46256	14	16	0.25	2R
39430	14	16	0.25	3L
41297	14	16	0.25	3R
31608	14	16	0.25	X
224971	14	32	0.05	2L
157751	14	32	0.05	2R
193797	14	32	0.05	3L
173376	14	32	0.05	3R
123561	14	32	0.05	X
74665	14	32	0.125	2L
84252	14	32	0.125	2R
89838	14	32	0.125	3L
57386	14	32	0.125	3R
61154	14	32	0.125	X
34874	14	32	0.25	2L
24749	14	32	0.25	2R
36522	14	32	0.25	3L
22196	14	32	0.25	3R
27106	14	32	0.25	X
188645	14	64	0.05	2L
185747	14	64	0.05	2R
201954	14	64	0.05	3L
181096	14	64	0.05	3R
121715	14	64	0.05	X
77248	14	64	0.125	2L
70427	14	64	0.125	2R
