N	rep	n_lines	threshold	chromosome
47658	9	4	0.125	X
50277	9	4	0.25	2L
65296	9	4	0.25	2R
61610	9	4	0.25	3L
67832	9	4	0.25	3R
55854	9	4	0.25	X
125971	9	8	0.05	2L
104737	9	8	0.05	2R
126343	9	8	0.05	3L
95193	9	8	0.05	3R
84072	9	8	0.05	X
131397	9	8	0.125	2L
89244	9	8	0.125	2R
124618	9	8	0.125	3L
143460	9	8	0.125	3R
79636	9	8	0.125	X
71861	9	8	0.25	2L
46584	9	8	0.25	2R
57158	9	8	0.25	3L
35372	9	8	0.25	3R
30680	9	8	0.25	X
225444	9	16	0.05	2L
144503	9	16	0.05	2R
213283	9	16	0.05	3L
217600	9	16	0.05	3R
134474	9	16	0.05	X
107659	9	16	0.125	2L
97894	9	16	0.125	2R
102566	9	16	0.125	3L
70815	9	16	0.125	3R
68160	9	16	0.125	X
38559	9	16	0.25	2L
33926	9	16	0.25	2R
26710	9	16	0.25	3L
37813	9	16	0.25	3R
26940	9	16	0.25	X
193664	9	32	0.05	2L
129789	9	32	0.05	2R
183701	9	32	0.05	3L
166829	9	32	0.05	3R
119409	9	32	0.05	X
87262	9	32	0.125	2L
63973	9	32	0.125	2R
89804	9	32	0.125	3L
64835	9	32	0.125	3R
66191	9	32	0.125	X
30532	9	32	0.25	2L
31117	9	32	0.25	2R
30897	9	32	0.25	3L
24027	9	32	0.25	3R
25252	9	32	0.25	X
192997	9	64	0.05	2L
166563	9	64	0.05	2R
194919	9	64	0.05	3L
184265	9	64	0.05	3R
117909	9	64	0.05	X
76092	9	64	0.125	2L
56582	9	64	0.125	2R
86258	9	64	0.125	3L
54018	9	64	0.125	3R
54695	9	64	0.125	X
29446	9	64	0.25	2L
27302	9	64	0.25	2R
31275	9	64	0.25	3L
21744	9	64	0.25	3R
21750	9	64	0.25	X
194237	9	128	0.05	2L
166479	9	128	0.05	2R
203444	9	128	0.05	3L
167299	9	128	0.05	3R
124141	9	128	0.05	X
71487	9	128	0.125	2L
61207	9	128	0.125	2R
80394	9	128	0.125	3L
57603	9	128	0.125	3R
50785	9	128	0.125	X
27271	9	128	0.25	2L
23186	9	128	0.25	2R
29897	9	128	0.25	3L
20195	9	128	0.25	3R
20947	9	128	0.25	X
